Iteration	x0	x1
  1	 2.000000	 1.545455
  2	 1.545455	 1.441295
  3	 1.441295	 1.391045
  4	 1.391045	 1.363714
  5	 1.363714	 1.348041
  6	 1.348041	 1.338801
  7	 1.338801	 1.333269
  8	 1.333269	 1.329927
  9	 1.329927	 1.327898
 10	 1.327898	 1.326661
 11	 1.326661	 1.325907
 12	 1.325907	 1.325445
 13	 1.325445	 1.325163
 14	 1.325163	 1.324990
 15	 1.324990	 1.324885
 16	 1.324885	 1.324820
 17	 1.324820	 1.324780
 18	 1.324780	 1.324756
 19	 1.324756	 1.324741
 20	 1.324741	 1.324732
 21	 1.324732	 1.324727
 22	 1.324727	 1.324723
 23	 1.324723	 1.324721
 24	 1.324721	 1.324720
 25	 1.324720	 1.324719
